Symbol,Date,Open,High,Low,Close,Volume,Sector,Index
,,DSSL.NS,DSSL.NS,DSSL.NS,DSSL.NS,DSSL.NS,,
DSSL,2018-06-15,38.95000076293945,38.95000076293945,36.0,36.150001525878906,31941,,NSE
DSSL,2018-06-18,37.70000076293945,38.0,35.25,35.849998474121094,5763,,NSE
DSSL,2018-06-19,35.45000076293945,36.0,34.04999923706055,34.5,6986,,NSE
DSSL,2018-06-20,34.349998474121094,37.599998474121094,34.099998474121094,36.75,10203,,NSE
DSSL,2018-06-21,37.0,37.70000076293945,35.0,35.150001525878906,6488,,NSE
DSSL,2018-06-22,36.849998474121094,36.849998474121094,34.099998474121094,34.45000076293945,12064,,NSE
DSSL,2018-06-25,34.400001525878906,34.900001525878906,33.45000076293945,34.20000076293945,6384,,NSE
DSSL,2018-06-26,36.75,36.75,32.29999923706055,33.45000076293945,5599,,NSE
DSSL,2018-06-27,33.04999923706055,35.0,31.5,32.900001525878906,11348,,NSE
DSSL,2018-06-28,35.0,35.349998474121094,31.549999237060547,31.899999618530273,8114,,NSE
DSSL,2018-06-29,33.79999923706055,34.0,32.0,32.54999923706055,2112,,NSE
DSSL,2018-07-02,33.0,33.0,31.649999618530273,32.150001525878906,9114,,NSE
DSSL,2018-07-03,33.0,33.45000076293945,31.100000381469727,31.649999618530273,13891,,NSE
DSSL,2018-07-04,32.599998474121094,33.45000076293945,31.75,32.45000076293945,4007,,NSE
DSSL,2018-07-05,34.0,34.0,31.899999618530273,32.75,5638,,NSE
DSSL,2018-07-06,34.099998474121094,34.20000076293945,32.0,32.599998474121094,3433,,NSE
DSSL,2018-07-09,35.0,35.349998474121094,33.0,33.0,1436,,NSE
DSSL,2018-07-10,34.900001525878906,34.900001525878906,33.0,33.70000076293945,3383,,NSE
DSSL,2018-07-11,33.79999923706055,33.79999923706055,32.099998474121094,32.900001525878906,4965,,NSE
DSSL,2018-07-12,33.0,33.900001525878906,32.900001525878906,33.599998474121094,7287,,NSE
DSSL,2018-07-13,33.0,33.79999923706055,32.400001525878906,32.900001525878906,1897,,NSE
DSSL,2018-07-16,32.5,32.95000076293945,30.5,30.700000762939453,9589,,NSE
DSSL,2018-07-17,30.700000762939453,31.950000762939453,29.899999618530273,31.350000381469727,2099,,NSE
DSSL,2018-07-18,31.399999618530273,33.29999923706055,30.0,31.049999237060547,3772,,NSE
DSSL,2018-07-19,30.299999237060547,31.850000381469727,30.100000381469727,30.899999618530273,2437,,NSE
DSSL,2018-07-20,33.79999923706055,33.79999923706055,29.299999237060547,30.700000762939453,2409,,NSE
DSSL,2018-07-23,32.95000076293945,32.95000076293945,29.549999237060547,29.950000762939453,3256,,NSE
DSSL,2018-07-24,30.700000762939453,32.0,28.700000762939453,30.950000762939453,7302,,NSE
DSSL,2018-07-25,31.0,31.0,30.200000762939453,30.5,2182,,NSE
DSSL,2018-07-26,30.5,32.54999923706055,30.5,32.0,2655,,NSE
DSSL,2018-07-27,32.0,33.0,31.700000762939453,31.899999618530273,1454,,NSE
DSSL,2018-07-30,32.0,32.650001525878906,30.899999618530273,31.649999618530273,2365,,NSE
DSSL,2018-07-31,31.049999237060547,32.849998474121094,30.549999237060547,31.75,2778,,NSE
DSSL,2018-08-01,32.0,32.5,30.700000762939453,32.5,951,,NSE
DSSL,2018-08-02,32.0,36.599998474121094,32.0,35.95000076293945,19763,,NSE
DSSL,2018-08-03,35.0,35.95000076293945,33.5,33.70000076293945,6516,,NSE
DSSL,2018-08-06,33.900001525878906,35.400001525878906,32.54999923706055,32.849998474121094,10040,,NSE
DSSL,2018-08-07,37.400001525878906,37.400001525878906,32.25,33.95000076293945,7893,,NSE
DSSL,2018-08-08,34.400001525878906,35.29999923706055,33.20000076293945,33.79999923706055,8225,,NSE
DSSL,2018-08-09,33.20000076293945,34.599998474121094,33.20000076293945,33.5,3153,,NSE
DSSL,2018-08-10,35.95000076293945,35.95000076293945,32.5,32.95000076293945,8572,,NSE
DSSL,2018-08-13,33.95000076293945,33.95000076293945,32.04999923706055,32.349998474121094,2770,,NSE
DSSL,2018-08-14,32.70000076293945,33.25,32.150001525878906,32.400001525878906,2739,,NSE
DSSL,2018-08-16,36.75,38.849998474121094,36.099998474121094,38.849998474121094,34708,,NSE
DSSL,2018-08-17,43.0,44.70000076293945,36.20000076293945,37.0,371111,,NSE
DSSL,2018-08-20,37.0,42.95000076293945,35.70000076293945,40.349998474121094,75788,,NSE
DSSL,2018-08-21,40.95000076293945,41.0,38.54999923706055,39.45000076293945,41145,,NSE
DSSL,2018-08-23,40.29999923706055,40.45000076293945,38.099998474121094,39.45000076293945,9837,,NSE
DSSL,2018-08-24,39.0,39.70000076293945,38.099998474121094,38.20000076293945,10206,,NSE
DSSL,2018-08-27,38.0,38.599998474121094,35.54999923706055,35.900001525878906,19680,,NSE
DSSL,2018-08-28,35.54999923706055,40.099998474121094,35.54999923706055,38.20000076293945,25484,,NSE
DSSL,2018-08-29,37.5,38.099998474121094,36.29999923706055,37.25,2834,,NSE
DSSL,2018-08-30,37.25,38.95000076293945,36.349998474121094,37.75,8103,,NSE
DSSL,2018-08-31,37.29999923706055,39.0,37.25,38.400001525878906,5409,,NSE
DSSL,2018-09-03,40.0,40.5,37.70000076293945,38.20000076293945,15473,,NSE
DSSL,2018-09-04,39.25,39.25,37.04999923706055,37.349998474121094,11210,,NSE
DSSL,2018-09-05,38.0,38.79999923706055,37.099998474121094,37.54999923706055,10901,,NSE
DSSL,2018-09-06,37.20000076293945,37.900001525878906,35.349998474121094,36.95000076293945,13659,,NSE
DSSL,2018-09-07,36.54999923706055,38.0,36.5,37.599998474121094,6192,,NSE
DSSL,2018-09-10,37.599998474121094,39.099998474121094,37.0,37.650001525878906,3415,,NSE
